[10:07:06.519]B!&™ä‚Å10   8  49 # 0  0   11   10 
[10:07:14.383]0 |  983 | 0 |    0   14 | 1 |  27  0 | 0  0 | 10 : 9 :56 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:14.485]0 |  989 | 0 |    0   15 | 1 |  27  0 | 0  0 | 10 : 9 :56 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:14.585]0 |  994 | 0 |    0   16 | 1 |  28  0 | 0  0 | 10 : 9 :56 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:14.686]0 |  999 | 0 |    0   17 | 1 |  27  0 | 0  0 | 10 : 9 :56 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:14.785]0 | 1004 | 0 |    0   18 | 1 |  27  0 | 0  0 | 10 : 9 :56 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:14.883]0 | 1009 | 0 |    0   19 | 1 |  24  0 | 0  0 | 10 : 9 :56 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:14.983]0 | 1013 | 0 |    0   20 | 1 |  29  0 | 0  0 | 10 : 9 :57 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:15.085]0 | 1014 | 0 |    0   21 | 1 |  28  0 | 0  0 | 10 : 9 :57 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:15.184]0 | 1018 | 0 |    0   22 | 1 |  28  0 | 0  0 | 10 : 9 :57 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:15.283]0 | 1022 | 0 |    0   23 | 1 |  28  0 | 0  0 | 10 : 9 :57 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:15.383]0 | 1025 | 0 |    0   24 | 1 |  28  0 | 0  0 | 10 : 9 :57 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:15.483]0 | 1020 | 0 |    0   25 | 1 |  30  0 | 0  0 | 10 : 9 :57 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:15.585]0 | 1017 | 0 |    0   26 | 1 |  29  0 | 0  0 | 10 : 9 :57 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
