[09:39:09.467]0 |  963 | 0 |    0   27 | 0 |  27  0 | 0  0 |  9 :38 :43 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:09.576]0 |  961 | 0 |    0   28 | 0 |  30  0 | 0  0 |  9 :38 :43 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:09.667]0 |  960 | 0 |    0   29 | 0 |  31  0 | 0  0 |  9 :38 :43 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:09.766]0 |  959 | 0 |    0   30 | 0 |  30  0 | 0  0 |  9 :38 :44 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:09.866]0 |  958 | 0 |    0   31 | 0 |  28  0 | 0  0 |  9 :38 :44 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:09.972]0 |  958 | 0 |    0   32 | 0 |  28  0 | 0  0 |  9 :38 :44 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:10.066]0 |  957 | 0 |    0   33 | 0 |  29  0 | 0  0 |  9 :38 :44 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:10.166]0 |  957 | 0 |    0   34 | 0 |  29  0 | 0  0 |  9 :38 :44 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:10.186]0 |  957 | 0 |    0   34 | 0 |  29  0 | 0  0 |  9 :38 :44 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:10.265]0 |  956 | 0 |    0   35 | 0 |  28  0 | 0  0 |  9 :38 :44 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:10.366]0 |  955 | 0 |    0   36 | 0 |  26  0 | 0  0 |  9 :38 :44 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:10.466]0 |  954 | 0 |    0   37 | 0 |  28  0 | 0  0 |  9 :38 :44 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:10.566]0 |  954 | 0 |    0   38 | 0 |  27  0 | 0  0 |  9 :38 :44 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:10.666]0 |  953 | 0 |    0   39 | 0 |  26  0 | 0  0 |  9 :38 :45 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:10.766]0 |  953 | 0 |    0   40 | 0 |  29  0 | 0  0 |  9 :38 :45 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:10.877]0 |  952 | 0 |    0   41 | 0 |  29  0 | 0  0 |  9 :38 :45 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:10.972]0 |  952 | 0 |    0   42 | 0 |  28  0 | 0  0 |  9 :38 :45 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:11.066]0 |  951 | 0 |    0   43 | 0 |  28  0 | 0  0 |  9 :38 :45 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:11.166]0 |  951 | 0 |    0   44 | 0 |  30  0 | 0  0 |  9 :38 :45 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:11.186]0 |  951 | 0 |    0   44 | 0 |  30  0 | 0  0 |  9 :38 :45 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:11.266]0 |  950 | 0 |    0   45 | 0 |  30  0 | 0  0 |  9 :38 :45 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:11.366]1 |  950 | 1 |   63    0 | 0 |  29  0 | 0  0 |  9 :38 :45 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:11.536]1 |  949 | 1 |   -1    0 | 0 |  28  0 | 0  0 |  9 :38 :46 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:11.635]1 |  949 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :46 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:11.747]1 |  949 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :46 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:11.836]1 |  949 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :46 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:11.936]1 |  948 | 1 |   -1    0 | 0 |  27  0 | 0  0 |  9 :38 :46 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:12.036]1 |  948 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :46 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:12.136]1 |  948 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :46 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:12.236]1 |  948 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :46 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
1 |  948 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :46 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:12.346]1 |  948 | 1 |    0    0 | 0 |  31  0 | 0  0 |  9 :38 :46 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:12.434]1 |  947 | 1 |   -1    0 | 0 |  29  0 | 0  0 |  9 :38 :47 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:12.536]1 |  947 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :47 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:12.636]1 |  948 | 1 |    1    0 | 0 |  29  0 | 0  0 |  9 :38 :47 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:12.736]1 |  947 | 1 |   -1    0 | 0 |  31  0 | 0  0 |  9 :38 :47 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:12.836]1 |  947 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :47 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:12.936]1 |  947 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :47 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:13.047]1 |  947 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :47 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:13.137]1 |  947 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :47 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:13.236]1 |  946 | 1 |   -1    0 | 0 |  30  0 | 0  0 |  9 :38 :47 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:13.336]1 |  946 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:13.436]1 |  947 | 1 |    1    0 | 0 |  30  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:13.536]1 |  947 | 1 |    0    0 | 0 |  26  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:13.635]1 |  947 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:13.746]1 |  946 | 1 |   -1    0 | 0 |  30  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:13.837]1 |  947 | 1 |    1    0 | 0 |  27  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:13.935]1 |  947 | 1 |    0    0 | 0 |  25  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:14.036]1 |  946 | 1 |   -1    0 | 0 |  29  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:14.136]1 |  946 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:14.236]1 |  946 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
1 |  946 | 1 |    0    0 | 0 |  30  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:14.347]1 |  946 | 1 |    0    0 | 0 |  28  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:14.437]1 |  946 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:14.536]1 |  946 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:14.636]1 |  946 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:14.736]1 |  946 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:14.836]1 |  946 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:14.935]1 |  946 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:15.037]1 |  946 | 1 |    0    0 | 0 |  27  0 | 0  0 |  9 :38 :48 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
[09:39:15.136]1 |  946 | 1 |    0    0 | 0 |  29  0 | 0  0 |  9 :38 :49 | 3  0  3 #    5 #  9  38  45 |255 255 255 # 0  0    1    0 
