[10:00:08.670]0 | 1101 | 0 |    0   40 | 0 |  27  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:08.770]0 | 1101 | 0 |    0   41 | 0 |  28  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:08.870]0 | 1100 | 0 |    0   42 | 0 |  28  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:08.970]0 | 1099 | 0 |    0   43 | 0 |  28  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:09.070]0 | 1099 | 0 |    0   44 | 0 |  28  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:09.170]0 | 1099 | 0 |    0   45 | 0 |  27  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:09.270]0 | 1098 | 0 |    0   46 | 0 |  26  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:09.371]0 | 1098 | 0 |    0   47 | 0 |  29  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:09.390]0 | 1098 | 0 |    0   47 | 0 |  29  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:09.470]0 | 1097 | 0 |    0   48 | 0 |  30  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:09.570]0 | 1097 | 0 |    0   49 | 0 |  29  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:09.670]0 | 1097 | 0 |    0   50 | 0 |  26  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:09.770]1 | 1097 | 1 |   65    0 | 0 |  29  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:09.939]1 | 1096 | 1 |   -1    0 | 0 |  31  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:10.040]1 | 1096 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:10.139]1 | 1096 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:10.240]1 | 1096 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:10.340]1 | 1095 | 1 |   -1    0 | 0 |  29  0 | 0  0 | 10 : 2 :52 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:10.440]1 | 1095 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :52 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:10.540]1 | 1095 | 1 |    0    0 | 0 |  25  0 | 0  0 | 10 : 2 :52 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:10.640]1 | 1095 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :52 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:10.740]1 | 1095 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :52 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:10.840]1 | 1095 | 1 |    0    0 | 0 |  24  0 | 0  0 | 10 : 2 :52 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:10.939]1 | 1095 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :52 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:11.040]1 | 1094 | 1 |   -1    0 | 0 |  29  0 | 0  0 | 10 : 2 :52 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:11.140]1 | 1094 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :52 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
[10:00:11.240]1 | 1094 | 1 |    0    0 | 0 |  25  0 | 0  0 | 10 : 2 :53 | 2  0  2 #  835 # 10   2  51 |255 255 255 # 0  0   11   10 
