[09:47:13.780]0 |  867 | 0 |    0   39 | 1 |  27  0 | 0  0 |  9 :46 :47 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:13.881]0 |  865 | 0 |    0   40 | 1 |  28  0 | 0  0 |  9 :46 :48 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:13.979]0 |  864 | 0 |    0   41 | 1 |  28  0 | 0  0 |  9 :46 :48 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:14.079]0 |  862 | 0 |    0   42 | 1 |  28  0 | 0  0 |  9 :46 :48 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:14.179]0 |  861 | 0 |    0   43 | 1 |  27  0 | 0  0 |  9 :46 :48 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:14.280]0 |  860 | 0 |    0   44 | 1 |  26  0 | 0  0 |  9 :46 :48 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:14.379]0 |  859 | 0 |    0   45 | 1 |  29  0 | 0  0 |  9 :46 :48 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:14.479]0 |  858 | 0 |    0   46 | 1 |  30  0 | 0  0 |  9 :46 :48 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:14.579]0 |  858 | 0 |    0   47 | 1 |  28  0 | 0  0 |  9 :46 :48 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:14.679]0 |  857 | 0 |    0   48 | 1 |  28  0 | 0  0 |  9 :46 :48 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:14.779]0 |  856 | 0 |    0   49 | 1 |  29  0 | 0  0 |  9 :46 :49 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:14.879]0 |  855 | 0 |    0   50 | 1 |  29  0 | 0  0 |  9 :46 :49 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:14.979]0 |  855 | 0 |    0   51 | 1 |  29  0 | 0  0 |  9 :46 :49 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:15.079]0 |  854 | 0 |    0   52 | 1 |  27  0 | 0  0 |  9 :46 :49 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:15.191]0 |  853 | 0 |    0   53 | 1 |  26  0 | 0  0 |  9 :46 :49 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
